CODE	FAMILY	PREFIX	YAML_FIELD	FULL_CONCEPT	CANONICAL_TAG	GRAPH_NODE_TYPE	ACTIVE
Pph	PILLAR	P	domain	Physics	pillar/physics	Domain	Y
Pth	PILLAR	P	domain	Theology	pillar/theology	Domain	Y
Pma	PILLAR	P	domain	Mathematics	pillar/mathematics	Domain	Y
Pmi	PILLAR	P	domain	Philosophy of Mind	pillar/philosophy-of-mind	Domain	Y
Lgr	LOGOS	L	domain	Grace	logos/grace	Concept	Y
Lfi	LOGOS	L	domain	Field	logos/field	Concept	Y
Leq	LOGOS	L	domain	Equation	logos/equation	Concept	Y
Lth	LOGOS	L	domain	Theorem	logos/theorem	Concept	Y
Lpr	LOGOS	L	domain	Principle	logos/principle	Concept	Y
Xg	CHI VARIABLE	X	vars	G - Grace/Negentropy	χ_var/G	Variable	Y
Xm	CHI VARIABLE	X	vars	M - Mutual Information	χ_var/M	Variable	Y
Xe	CHI VARIABLE	X	vars	E - Entanglement Entropy	χ_var/E	Variable	Y
Xs	CHI VARIABLE	X	vars	S - Entropy/Emergent Order	χ_var/S	Variable	Y
Xt	CHI VARIABLE	X	vars	T - Teleological Tension	χ_var/T	Variable	Y
Xk	CHI VARIABLE	X	vars	K - Kairos Synchronization	χ_var/K	Variable	Y
Xr	CHI VARIABLE	X	vars	R - Relational Coherence	χ_var/R	Variable	Y
Xq	CHI VARIABLE	X	vars	Q - Quantum Coherence	χ_var/Q	Variable	Y
Xf	CHI VARIABLE	X	vars	F - Faith/Confidence	χ_var/F	Variable	Y
Xc	CHI VARIABLE	X	vars	C - Covenant Fidelity	χ_var/C	Variable	Y
D01	DEEP LAW	D	laws	Law 01 - Conservation of Grace	law/Law01	Law	Y
D02	DEEP LAW	D	laws	Law 02 - Entropic Redemption	law/Law02	Law	Y
D03	DEEP LAW	D	laws	Law 03 - Relational Coherence	law/Law03	Law	Y
D04	DEEP LAW	D	laws	Law 04 - Kairos Emergence	law/Law04	Law	Y
D05	DEEP LAW	D	laws	Law 05 - Quantum Covenant	law/Law05	Law	Y
D06	DEEP LAW	D	laws	Law 06 - Information Ontology	law/Law06	Law	Y
D07	DEEP LAW	D	laws	Law 07 - Teleological Gradient	law/Law07	Law	Y
